interview__key,r_members__id,decision_code,decision_label,decision_maker_1,decision_maker_2,decision_maker_3,decision_maker_4,decision_maker_5,decision_maker_6,decision_maker_7,decision_maker_8,decision_maker_9,decision_maker_10
"25-36-49-99",1,"weai_21","Use of Land",1,2,,,,,,,,
"95-91-52-45",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,,,,,,,
"95-91-52-45",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,,,,,,,,,
"95-91-52-45",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,,,,,,,,,
"95-91-52-45",1,"weai_4","How Much Money to Spend on Farm Inputs?",1,,,,,,,,,
"95-91-52-45",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,,,,,,,,,
"95-91-52-45",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"95-91-52-45",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"95-91-52-45",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"95-91-52-45",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"95-91-52-45",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"95-91-52-45",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"95-91-52-45",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"95-91-52-45",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"95-91-52-45",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"95-91-52-45",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"95-91-52-45",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"95-91-52-45",1,"weai_21","Use of Land",1,,,,,,,,,
"25-55-41-68",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"25-55-41-68",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"25-55-41-68",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"25-55-41-68",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"25-55-41-68",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"25-55-41-68",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"25-55-41-68",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"25-55-41-68",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"25-55-41-68",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"25-55-41-68",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"25-55-41-68",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"25-55-41-68",1,"weai_21","Use of Land",1,,,,,,,,,
"16-89-26-77",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,,,,,,
"16-89-26-77",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"16-89-26-77",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"16-89-26-77",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,,,,,,,
"16-89-26-77",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,,,,,,
"16-89-26-77",1,"weai_15","Purchase and Sale of Land and Houses?",2,,,,,,,,,
"16-89-26-77",1,"weai_16","Expenditure on Children's Education",1,2,,,,,,,,
"16-89-26-77",1,"weai_17","How to Allocate Remittances",2,,,,,,,,,
"16-89-26-77",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,,,,,,
"16-89-26-77",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,,,,,,,
"16-89-26-77",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,,,,,,
"16-89-26-77",1,"weai_21","Use of Land",1,2,,,,,,,,
"32-98-78-03",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,,,,,,
"32-98-78-03",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,,,,,,
"32-98-78-03",1,"weai_12","How Much Money to Spend on Food?",1,2,,,,,,,,
"32-98-78-03",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,,,,,,
"32-98-78-03",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,,,,,,
"32-98-78-03",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"32-98-78-03",1,"weai_16","Expenditure on Children's Education",1,2,,,,,,,,
"32-98-78-03",1,"weai_17","How to Allocate Remittances",1,2,,,,,,,,
"32-98-78-03",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,,,,,,
"32-98-78-03",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,,,,,,,
"32-98-78-03",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,,,,,,
"32-98-78-03",1,"weai_21","Use of Land",1,2,,,,,,,,
"76-60-63-85",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,,,,,,
"76-60-63-85",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,,,,,,
"76-60-63-85",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,,,,,,
"76-60-63-85",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,,,,,,
"76-60-63-85",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,,,,,,
"76-60-63-85",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"76-60-63-85",1,"weai_12","How Much Money to Spend on Food?",1,2,3,4,,,,,,
"76-60-63-85",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,3,4,,,,,,
"76-60-63-85",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,3,4,,,,,,
"76-60-63-85",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,3,4,,,,,,
"76-60-63-85",1,"weai_16","Expenditure on Children's Education",2,,,,,,,,,
"76-60-63-85",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"76-60-63-85",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,,,,,,
"76-60-63-85",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,,,,,,,
"76-60-63-85",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"76-60-63-85",1,"weai_21","Use of Land",1,,,,,,,,,
"17-45-76-38",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,,,,,,
"17-45-76-38",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,,,,,,
"17-45-76-38",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,,,,,,
"17-45-76-38",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,,,,,,
"17-45-76-38",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"17-45-76-38",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"17-45-76-38",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"17-45-76-38",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"17-45-76-38",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"17-45-76-38",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"17-45-76-38",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"17-45-76-38",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"17-45-76-38",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"17-45-76-38",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"17-45-76-38",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"17-45-76-38",1,"weai_21","Use of Land",1,,,,,,,,,
"25-00-79-64",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"25-00-79-64",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"25-00-79-64",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"25-00-79-64",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"25-00-79-64",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"25-00-79-64",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"25-00-79-64",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"25-00-79-64",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"25-00-79-64",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"25-00-79-64",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"25-00-79-64",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"25-00-79-64",1,"weai_21","Use of Land",1,,,,,,,,,
"49-47-26-23",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"49-47-26-23",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"49-47-26-23",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"49-47-26-23",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"49-47-26-23",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"49-47-26-23",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"49-47-26-23",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"49-47-26-23",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"49-47-26-23",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"49-47-26-23",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"49-47-26-23",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"49-47-26-23",1,"weai_21","Use of Land",1,,,,,,,,,
"66-81-51-91",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,,,,,,
"66-81-51-91",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,,,,,,
"66-81-51-91",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,,,,,,
"66-81-51-91",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,,,,,,
"66-81-51-91",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,,,,,,
"66-81-51-91",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"66-81-51-91",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"66-81-51-91",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"66-81-51-91",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"66-81-51-91",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"66-81-51-91",1,"weai_16","Expenditure on Children's Education",2,,,,,,,,,
"66-81-51-91",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"66-81-51-91",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"66-81-51-91",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"66-81-51-91",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"66-81-51-91",1,"weai_21","Use of Land",1,,,,,,,,,
"02-25-80-90",3,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"02-25-80-90",3,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"02-25-80-90",3,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"02-25-80-90",3,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"02-25-80-90",3,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"02-25-80-90",3,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"02-25-80-90",3,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"02-25-80-90",3,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"02-25-80-90",3,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"02-25-80-90",3,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"02-25-80-90",3,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"02-25-80-90",3,"weai_21","Use of Land",1,,,,,,,,,
"41-03-53-12",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,,,,,,
"41-03-53-12",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,,,,,,
"41-03-53-12",1,"weai_12","How Much Money to Spend on Food?",2,,,,,,,,,
"41-03-53-12",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,,,,,,
"41-03-53-12",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,,,,,,
"41-03-53-12",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,,,,,,
"41-03-53-12",1,"weai_16","Expenditure on Children's Education",1,2,,,,,,,,
"41-03-53-12",1,"weai_17","How to Allocate Remittances",1,2,,,,,,,,
"41-03-53-12",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,,,,,,
"41-03-53-12",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,,,,,,,
"41-03-53-12",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,,,,,,
"41-03-53-12",1,"weai_21","Use of Land",1,2,,,,,,,,
"09-25-62-80",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,,,,,,
"09-25-62-80",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,,,,,,
"09-25-62-80",1,"weai_12","How Much Money to Spend on Food?",2,,,,,,,,,
"09-25-62-80",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"09-25-62-80",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,,,,,,
"09-25-62-80",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,,,,,,
"09-25-62-80",1,"weai_16","Expenditure on Children's Education",1,2,,,,,,,,
"09-25-62-80",1,"weai_17","How to Allocate Remittances",1,2,,,,,,,,
"09-25-62-80",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,,,,,,
"09-25-62-80",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,,,,,,,
"09-25-62-80",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,,,,,,
"09-25-62-80",1,"weai_21","Use of Land",1,2,,,,,,,,
"09-25-62-80",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,,,,,,
"09-25-62-80",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,,,,,,
"09-25-62-80",2,"weai_12","How Much Money to Spend on Food?",2,,,,,,,,,
"09-25-62-80",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,,,,,,
"09-25-62-80",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,,,,,,
"09-25-62-80",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,,,,,,
"09-25-62-80",2,"weai_16","Expenditure on Children's Education",1,2,,,,,,,,
"09-25-62-80",2,"weai_17","How to Allocate Remittances",1,2,,,,,,,,
"09-25-62-80",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,,,,,,
"09-25-62-80",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,,,,,,,
"09-25-62-80",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,,,,,,
"09-25-62-80",2,"weai_21","Use of Land",1,2,,,,,,,,
"12-68-96-23",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,,,,,,
"12-68-96-23",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,,,,,,
"12-68-96-23",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,,,,,,
"12-68-96-23",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,,,,,,
"12-68-96-23",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"12-68-96-23",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"12-68-96-23",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"12-68-96-23",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"12-68-96-23",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"12-68-96-23",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"12-68-96-23",1,"weai_16","Expenditure on Children's Education",2,,,,,,,,,
"12-68-96-23",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"12-68-96-23",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",2,,,,,,,,,
"12-68-96-23",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"12-68-96-23",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"12-68-96-23",1,"weai_21","Use of Land",1,,,,,,,,,
"46-89-61-94",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"46-89-61-94",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"46-89-61-94",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"46-89-61-94",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"46-89-61-94",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"46-89-61-94",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"46-89-61-94",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"46-89-61-94",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"46-89-61-94",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"46-89-61-94",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"46-89-61-94",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"46-89-61-94",1,"weai_21","Use of Land",1,,,,,,,,,
"36-57-98-87",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,,,,,,
"36-57-98-87",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,,,,,,
"36-57-98-87",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,,,,,,
"36-57-98-87",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,,,,,,
"36-57-98-87",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"36-57-98-87",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"36-57-98-87",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"36-57-98-87",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,,,,,,
"36-57-98-87",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"36-57-98-87",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"36-57-98-87",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
"36-57-98-87",1,"weai_17","How to Allocate Remittances",1,,,,,,,,,
"36-57-98-87",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,,,,,,
"36-57-98-87",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,,,,,,
"36-57-98-87",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,,,,,,
"36-57-98-87",1,"weai_21","Use of Land",1,,,,,,,,,
"93-61-95-87",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",5,,,,,,,,,
"93-61-95-87",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",5,,,,,,,,,
"93-61-95-87",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",5,,,,,,,,,
"93-61-95-87",1,"weai_4","How Much Money to Spend on Farm Inputs?",5,,,,,,,,,
"93-61-95-87",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",5,,,,,,,,,
"93-61-95-87",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,,,,,,
"93-61-95-87",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,,,,,,
"93-61-95-87",1,"weai_12","How Much Money to Spend on Food?",1,,,,,,,,,
"93-61-95-87",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,5,,,,,,,,
"93-61-95-87",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,,,,,,
"93-61-95-87",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,,,,,,
"93-61-95-87",1,"weai_16","Expenditure on Children's Education",1,,,,,,,,,
